Numero,Orden,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
142,Fagales,Fagaceae,Quercus,skinneri,Quercus skinneri,Quercus skinneri,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),,N/A,N/A,N/A,N/A,absent,N/A,N/A
143,Icacinales,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,,typical (narrow),,,,whorled,,,N/A,N/A,N/A,N/A,absent,N/A,N/A
144,Icacinales,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),,,absent,N/A,N/A
145,Icacinales,Icacinaceae,Calatola,laevigata,Calatola laevigata,Calatola laevigata,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),,,absent,N/A,N/A
146,Icacinales,Icacinaceae,Mappia,racemosa,Mappia racemosa,Mappia racemosa,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
147,Fagales,Juglandaceae,Juglans,pyriformis,Juglans pyriformis,Juglans pyriformis,unisexual,unisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,more than five (>5),fused (>5%),,absent,N/A,N/A
148,Fagales,Juglandaceae,Juglans,pyriformis,Juglans pyriformis,Juglans pyriformis,unisexual,unisexual,N/A,present,more than ten (>10),,actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,more than ten (>10),typical (narrow),,basifixed,longitudinal slit,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
149,Fagales,Juglandaceae,Oreomunnea,mexicana,Oreomunnea mexicana,Oreomunnea mexicana,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,two (2),fused (>5%),two (2),absent,N/A,N/A
150,Fagales,Juglandaceae,Oreomunnea,mexicana,Oreomunnea mexicana,Oreomunnea mexicana,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,2,0,more than ten (>10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
151,Malpighiales,Lacistemataceae,Lacistema,aggregatum,Lacistema aggregatum,Lacistema aggregatum,bisexual,bisexual,inferior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,4,one to five (1-5),typical (narrow),,,,whorled,one (1),N/A,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
152,Laurales,Lauraceae,Licaria,capitata,Licaria capitata,Licaria capitata,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),trimerous,differentiated,0,3,3,more than ten (>10),typical (narrow),introrse,basifixed,flap-valvate,whorled,more than two (>2),trimerous,whorled,two (2),,one (1),absent,N/A,N/A
153,Laurales,Lauraceae,Mespilodaphne,macrophylla,Mespilodaphne macrophylla,Mespilodaphne macrophylla,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),trimerous,undifferentiated,6,0,0,six to ten (6-10),typical (narrow),latrorse,basifixed,longitudinal slit,whorled,more than two (>2),trimerous,whorled,one (1),N/A,,present,glandular,interestaminal
154,Laurales,Lauraceae,Persea,schiedeana,Persea schiedeana,Persea schiedeana,bisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),trimerous,undifferentiated,4,0,0,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),trimerous,whorled,one (1),N/A,three or more (>2),present,,interestaminal
155,Magnoliales,Magnoliaceae,Magnolia,schiedeana,Magnolia schiedeana,Magnolia schiedeana,bisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,spiral,more than two (>2),trimerous,differentiated,9,0,0,more than ten (>10),laminar (wide),introrse,,longitudinal slit,spiral,N/A,N/A,spiral,more than five (>5),free (<5%),one (1),absent,N/A,N/A
156,Malpighiales,Malpighiaceae,Bunchosia,lindeniana,Bunchosia lindeniana,Bunchosia lindeniana,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,,,,whorled,two (2),fused (>5%),,absent,N/A,N/A
157,Malpighiales,Malpighiaceae,Byrsonima,cinerea,Byrsonima cinerea,Byrsonima cinerea,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,0,0,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,,,,whorled,three (3),fused (>5%),,absent,N/A,N/A
